formula,bg,formation_energy,mp-id,fidelity,bg_category
RbHgSbSe3,1.7641600000000002,-0.7669543786718781,mp-6300,4,1.0
NaCaVO4,4.217899999999999,-2.7691338459113313,mp-19302,4,4.0
LiRhO2,1.95974,-1.555824928333332,mp-14115,4,1.0
Tl2B2Se7,1.67976,-0.28725675440341,mp-16183,4,1.0
KI,4.7858,-1.669989291124999,mp-22898,4,4.0
Ba2CuClO2,0.655531,-2.449774615,mp-551456,4,0.0
Zn(InSe2)2,1.33381,-0.86116859752976,mp-22607,4,1.0
SCl,3.3613299999999997,,mp-504824,4,3.0
Sr(InSe2)2,1.94766,-1.260986248065475,mp-21733,4,1.0
ZnSiAs2,1.18126,-0.1912955775,mp-3595,4,1.0
Y2MgSe4,2.19105,-1.95491398919643,mp-15803,4,2.0
K4BeAs2,1.81594,-0.393766191285711,mp-29584,4,1.0
Zn(ReO4)2,4.57667,-2.101178606818182,mp-10326,4,4.0
Cs2PdCl4,2.3265,-1.571850537857145,mp-30314,4,2.0
CaPS3,3.66434,-1.236962133282737,mp-9789,4,3.0
AsS,2.21553,-0.159580558906249,mp-542810,4,2.0
BaYAgSe3,2.0624,-1.773074978116318,mp-6647,4,1.0
Li3AuS2,2.94578,-1.206511225833334,mp-15999,4,2.0
Cs2Li2TiO4,5.38333,-2.526923392701148,mp-8294,4,5.0
Ba(MgAs)2,1.54535,-0.928578429000002,mp-8280,4,1.0
Cs3Sb,1.55503,-0.500301612499999,mp-10378,4,1.0
NaAlCl4,6.65768,-1.8538959725,mp-23363,4,6.0
NaLiSe,3.4769,-1.371980806076387,mp-28603,4,3.0
K2MgF4,9.0369,-3.367804555642856,mp-31212,4,7.0
SrLiP,1.97628,-1.134869963214286,mp-13276,4,1.0
Ca4Cl6O,6.509270000000001,-2.896422515454545,mp-23326,4,6.0
LiAs,0.732285,-0.588209097083334,mp-7943,4,0.0
RbAuBr3,1.01363,-1.185198881499999,mp-27300,4,0.0
CsNaS,3.90356,-1.274295310937501,mp-6973,4,3.0
LaZnAsO,0.778547,-2.060511224375001,mp-549589,4,0.0
Cs2CuF6,1.4401700000000002,-2.181234638888889,mp-28692,4,1.0
TaTl3Se4,2.76182,-0.714410679197918,mp-10644,4,2.0
Ba(AgTe)2,1.00924,-0.952725886833328,mp-18501,4,0.0
Li4NCl,0.924315,-1.018106857986112,mp-29149,4,0.0
Cd4OF6,2.9274,,mp-505174,4,2.0
TaI2O,1.29503,-1.681656821833334,mp-29027,4,1.0
CsAg3Se2,0.647418,-0.58239625405711,mp-16234,4,0.0
SbBr3,3.84367,-1.002810886249999,mp-27399,4,3.0
Ca2PbO4,2.0481,-2.551106224285708,mp-21137,4,1.0
Zn(AuF4)2,2.4104699999999997,-1.536380692272729,mp-17512,4,2.0
Sr2MgWO6,3.73682,-2.985156883499999,mp-19420,4,3.0
CsIO3,3.6724,-1.372726376931034,mp-28295,4,3.0
CuTe2Cl,0.927246,-0.331452256250003,mp-30971,4,0.0
ZnS,2.58289,-0.9625521039062512,mp-10695,4,2.0
BaGeO3,4.769729999999999,-2.696001211500001,mp-13863,4,4.0
K2S5,2.42894,-0.700578589866071,mp-17146,4,2.0
AlAgSe2,1.6604,-0.7432121020312501,mp-14091,4,1.0
RbIn5S8,1.85841,-0.936158507202379,mp-20938,4,1.0
Mg(BiO3)2,1.01692,-1.701878914444442,mp-28447,4,0.0
Cs2PtCl4,2.78714,-1.534298599285713,mp-29216,4,2.0
Cs2PdI6,0.904797,,mp-505635,4,0.0
BrF5,4.19682,-1.326850845833333,mp-27987,4,4.0
VCu3S4,1.42476,-0.8562810200000001,mp-3762,4,1.0
CsNaSe,3.31511,-1.313769136354165,mp-8658,4,3.0
Ga2HgTe4,0.837044,-0.368972043928571,mp-16337,4,0.0
Na3AgO2,2.10337,-1.258432925967428,mp-3527,4,1.0
Ga2Te5,1.1786,-0.298831161428572,mp-2371,4,1.0
CaS,3.30329,-2.436088926406249,mp-1672,4,3.0
CsLiCl2,6.39708,-2.1073052591666652,mp-23364,4,6.0
GaAgTe2,0.446175,-0.342137992499999,mp-4899,4,0.0
P2Pt,1.09351,-0.789592848650793,mp-730,4,0.0
ZnSO4,5.09071,-1.8630929675,mp-5126,4,4.0
InGaSe3,1.69439,-0.7055558967708331,mp-504952,4,1.0
HgI2,1.6419,-0.564617394374998,mp-23192,4,1.0
SrCaSi,0.798404,-0.526279950833333,mp-7084,4,0.0
LiGaO2,4.13755,-2.378874777083333,mp-5854,4,3.0
Cs2Ti(CuSe2)2,1.99588,-1.168822045779853,mp-10489,4,1.0
BaCaGe,0.564805,-0.5828065666666661,mp-16252,4,0.0
K4I2O9,3.0989899999999997,-1.420179801933333,mp-27764,4,2.0
Cs2AgI3,3.1071,-1.320910873079503,mp-540881,4,2.0
K2Pb(SO4)2,5.62442,-2.117876546884615,mp-21099,4,5.0
Sr(AuO2)2,1.94505,-1.477021438571423,mp-9298,4,1.0
MgGeO3,3.75582,-2.554010083,mp-4819,4,3.0
As2Rh,0.24408,-0.5725928316666651,mp-15954,4,0.0
AsF5,6.25772,-2.152408185416666,mp-8723,4,6.0
LiAlTe2,2.70704,-0.925174646666666,mp-4586,4,2.0
NaGe2(PO4)3,4.92638,-2.477459963628215,mp-542919,4,4.0
BaCuN,1.08246,,mp-505338,4,0.0
HgF,2.02223,-1.314067998750001,mp-706,4,1.0
PbSO4,5.178529999999999,,mp-22298,4,4.0
K(SnSe2)2,1.5454100000000002,-0.8701936988035711,mp-28769,4,1.0
LaSF,2.1167,-3.452929627604165,mp-5394,4,1.0
Sr3SbN,1.07602,-1.027945077000001,mp-7752,4,0.0
Al2ZnSe4,2.5813699999999997,-1.100773949910713,mp-7907,4,2.0
KBiP2S7,2.95033,-0.7979409535487001,mp-23572,4,2.0
Ca4Sb2O,1.4801099999999998,-1.781754134999996,mp-13660,4,1.0
Al2CdSe4,2.40769,-1.075488398482142,mp-3159,4,2.0
SnGeS3,1.90229,-0.684868667,mp-5045,4,1.0
BaZr2F10,7.89842,-4.093492791923077,mp-505400,4,7.0
Ba(BeN)2,2.2103,-1.107963756,mp-12927,4,2.0
Cs2AgSbS4,2.1679899999999996,-0.897385242622125,mp-510710,4,2.0
TlInSe2,1.4086800000000002,-0.6729150770312481,mp-22232,4,1.0
Cs2GeF6,7.925890000000001,-3.052358112701146,mp-8217,4,7.0
Sr2BN2F,3.64886,-2.023247366944444,mp-10234,4,3.0
Al2Os,0.5157930000000001,-0.670291663333335,mp-7188,4,0.0
BaSnHg,0.168062,-0.574680997500001,mp-11819,4,0.0
LiGeBO4,5.5519099999999995,-2.494826821071428,mp-8873,4,5.0
HgAsO3,1.61282,-1.362179759999999,mp-30284,4,1.0
FeSe2,0.7113039999999999,-0.669716959895831,mp-760,4,0.0
Ba2GeSe4,1.77996,-1.62330692705357,mp-11902,4,1.0
Rb3NaBe2F8,9.19031,-3.299471241705665,mp-13630,4,7.0
Ba2Zn7F18,5.50733,-2.959749393333333,mp-541827,4,5.0
BiCl3,4.08939,-1.044261659374999,mp-22908,4,3.0
Zn(SbO3)2,2.4065700000000003,-1.884719061666666,mp-3188,4,2.0
TeAuI,1.13137,,mp-504668,4,1.0
PbF3,2.3839,-2.26442824375,mp-20652,4,2.0
TiSnPt,0.871192,-0.938612322222217,mp-30847,4,0.0
MgB4,0.3847049999999999,-0.1727923235,mp-365,4,0.0
Cd(GaTe2)2,1.25105,-0.469118834285715,mp-13949,4,1.0
RbNbO3,4.39355,-2.8390510185,mp-3283,4,4.0
SrIF,5.1805200000000005,-3.123103805000002,mp-23046,4,5.0
KNa2(PO3)3,6.78803,-2.649284270595813,mp-17889,4,6.0
Rb4CdCl6,4.8592200000000005,-2.063121788636363,mp-22930,4,4.0
Sr(BeN)2,2.77563,-1.197968177,mp-11919,4,2.0
AlCuS2,2.69017,-0.963132853906248,mp-4979,4,2.0
BiTeCl,1.83772,-0.655658539166665,mp-28944,4,1.0
CaGeO3,4.63347,-2.749981945333333,mp-17761,4,4.0
S(ClO)2,4.7802,-1.2609632865,mp-28405,4,4.0
Cs2ZrO3,5.3148,-2.729279389051728,mp-8759,4,5.0
Al2HgS4,2.46297,-1.106310683214292,mp-7906,4,2.0
BaLaCuTe3,1.64629,-1.517794134999999,mp-17063,4,1.0
SnCl2,3.70432,-1.055039141666666,mp-29179,4,3.0
Cl2O,1.91283,,mp-505466,4,1.0
Li3B7O12,7.19694,-2.817122843371212,mp-16828,4,6.0
Rb2SnCl6,3.32721,-1.8884658099999991,mp-23059,4,3.0
SbSBr,2.17634,-0.7882413033333321,mp-22971,4,2.0
NaCdF3,4.93414,-2.660950373275862,mp-4360,4,4.0
Na2SeO3,4.9312,-1.7952078387670591,mp-5416,4,4.0
NbCu3S4,2.15154,-0.847748116249999,mp-5621,4,2.0
RbBiS2,1.92757,,mp-505761,4,1.0
SrHfN2,0.704539,-1.639650124375002,mp-9383,4,0.0
Ag2S,1.84017,-0.113522417604166,mp-31053,4,1.0
Ga2TeS2,2.56326,-0.686490629125,mp-27255,4,2.0
SrO,4.96379,-3.075623527499999,mp-2472,4,4.0
K4Br2O,3.10925,-1.699231186285714,mp-28627,4,2.0
NbInO4,4.0724,-2.623428141944451,mp-9595,4,3.0
KNaSe,3.22425,-1.240609514491021,mp-28595,4,3.0
CsAuCl3,1.1141500000000002,-1.194202064500001,mp-23484,4,1.0
K2P3,1.31835,-0.549950390285712,mp-8262,4,1.0
K4HgAs2,1.47928,-0.423216713785715,mp-29484,4,1.0
LaS2,1.04982,-2.142144764791664,mp-1508,4,0.0
Al2Te5,1.45592,-0.401939997142855,mp-9254,4,1.0
KNbF6,6.6538699999999995,-3.414340102781249,mp-7571,4,6.0
CsBiS2,2.0838400000000004,-0.8667762614062541,mp-541378,4,1.0
AuCl2,1.24603,-0.317203187500001,mp-541656,4,1.0
AgSbS2,1.80571,-0.250111398906248,mp-3922,4,1.0
Rb3GaO3,4.16,-1.8299430271428552,mp-13744,4,3.0
Na2Se,3.10183,-1.2695772096875,mp-1266,4,2.0
K2NbAgS4,2.61863,-1.240613618895833,mp-15214,4,2.0
In2P2O7,4.16604,-2.3776922391017252,mp-17100,4,4.0
Li2S,4.0371999999999995,-1.503453288055556,mp-1153,4,3.0
KLaO2,4.98654,-3.0045629105625,mp-7958,4,4.0
ScAgSe2,1.35539,-1.2746940445312511,mp-12908,4,1.0
HfCu2Te3,0.285767,-0.682466131666661,mp-3650,4,0.0
NaLi2AsO4,5.20724,-2.199363304443247,mp-9066,4,5.0
LiZnPS4,3.3106799999999996,-0.946639962568026,mp-11175,4,3.0
CaAgSb,0.312528,-0.757239733055554,mp-11214,4,0.0
LiAuI4,0.735494,,mp-505462,4,0.0
CaSe,2.9064699999999997,-2.315957819531251,mp-1415,4,2.0
Ba(IO3)2,4.24659,-1.546153766666666,mp-30991,4,4.0
Sr2CdWO6,3.73817,-2.618560415,mp-19014,4,3.0
LiF,10.6572,-3.188945303333333,mp-1138,4,7.0
Sr2YNbO6,4.41975,-3.46656378,mp-6019,4,4.0
Sr2NbN3,2.99258,-1.221069149583333,mp-17701,4,2.0
K2Mg(PSe3)2,2.3657600000000003,-0.973371604804382,mp-11643,4,2.0
Tl2PAuS4,1.90782,-0.604043033288692,mp-9510,4,1.0
NbBiO4,3.86264,-2.521130047083335,mp-23413,4,3.0
La3MnGaS7,0.358147,-1.9666968324308531,mp-504891,4,0.0
Na5ReO6,3.0324299999999997,-2.053585158283046,mp-8253,4,2.0
Ba(As3Pt2)2,0.4816539999999999,-0.657548921818193,mp-14501,4,0.0
LiAlSiO4,6.294020000000001,-3.210481965714286,mp-18220,4,6.0
KPb,0.8560099999999999,-0.362189247187497,mp-21526,4,0.0
Cs2ZrSe3,1.90956,-1.636383312031249,mp-9856,4,1.0
TaAgF6,4.87559,-2.913713846541668,mp-29993,4,4.0
Rb2B4O7,6.67091,-2.75967813128205,mp-16980,4,6.0
Ag2HgI4,1.55581,-0.512362546547618,mp-23485,4,1.0
KAlSiO4,6.04933,-3.184236963892856,mp-9480,4,5.0
CsCl,6.49316,-2.171597246249998,mp-22865,4,6.0
Rb3PS4,3.67331,-1.245215322455356,mp-16863,4,3.0
K3Na2SnAs3,1.2946,-0.452824543556513,mp-18447,4,1.0
Y6WO12,3.5477800000000004,-3.6557847515789472,mp-19005,4,3.0
Mg4Ta2O9,5.36825,-3.240302830644448,mp-17481,4,5.0
CsI3,2.23894,-1.113519470538793,mp-22876,4,2.0
Na2LiBe2F7,9.7226,-3.329258121757663,mp-12240,4,7.0
LiSiBO4,7.5361,-2.972327560357141,mp-8874,4,7.0
LaBN2,3.01904,,mp-505493,4,2.0
Bi3B5O12,4.24695,-2.435378658541668,mp-23549,4,4.0
V2Cd2O7,2.97708,-2.076633188636363,mp-18740,4,2.0
CsAgCl2,3.17178,-1.393852904999999,mp-542772,4,3.0
BiTeI,1.5716199999999998,-0.637094973888891,mp-22965,4,1.0
Rb2PbO3,2.17173,-1.554828175833331,mp-21489,4,2.0
Sb2S3,1.65299,-0.287243025187498,mp-2809,4,1.0
P2PtO7,1.93856,-2.080259031928571,mp-29282,4,1.0
MgSiP2,1.64148,-0.411262341071428,mp-2961,4,1.0
Y2Sn2O7,3.70717,-3.005540767272727,mp-3370,4,3.0
InS,1.76055,,mp-20094,4,1.0
RbCu3S2,1.22772,-0.615274059583332,mp-10985,4,1.0
Rb2Ni3Se4,0.8781760000000001,-0.845413846041668,mp-18691,4,0.0
NaZnP,0.931228,-0.518619665992063,mp-4824,4,0.0
NaAlI4,4.3757,-1.151658431479887,mp-29395,4,4.0
SrBeF4,9.86374,-3.9188805175,mp-9726,4,7.0
TeO2,3.13323,-1.494702649305555,mp-2125,4,2.0
As2Os,0.854585,-0.303892785000002,mp-2455,4,0.0
NaInO2,3.0836900000000003,-1.978897959511493,mp-5175,4,2.0
BaLiAs,1.18835,-0.939694690277778,mp-10616,4,1.0
TlPt2Se3,0.699905,-0.5280740395312521,mp-541487,4,0.0
CaAgAs,0.1555929999999999,-0.8982986191666661,mp-5615,4,0.0
NaNbS2,0.997657,-1.453704387844829,mp-7937,4,0.0
AgF3,0.596441,-1.128947433749999,mp-18536,4,0.0
FeSbS,0.8039980000000001,-0.5932567766666671,mp-27904,4,0.0
LiInGeO4,3.28102,-2.172037273214285,mp-17854,4,3.0
KGaI4,3.0242600000000004,-1.128624944541663,mp-29402,4,2.0
Cd4P6SN12,3.59202,-0.5997514267546581,mp-8921,4,3.0
PdI2,1.11024,-0.503004289999998,mp-27747,4,1.0
Y2Cl3,1.10832,-2.092601786499999,mp-27678,4,1.0
RbAuF4,2.99985,-2.069932459583331,mp-3419,4,2.0
ScAgO2,2.58054,-2.624149660416652,mp-11022,4,2.0
TaCu3Te4,1.49361,-0.474511129249997,mp-9295,4,1.0
P2Ir,0.609711,-0.8183616969841261,mp-10155,4,0.0
InOF,2.28309,-2.375712292222223,mp-27175,4,2.0
ZrSnS3,1.40018,-1.397594188499999,mp-17324,4,1.0
RbScO2,5.113659999999999,-3.000576440624999,mp-7650,4,4.0
KAuSe,2.56617,-0.8961049631979161,mp-9881,4,2.0
Nb2O5,3.31657,-3.026667726428572,mp-1595,4,3.0
O2,1.46243,0.0,mp-12957,4,1.0
Na2O2,3.28841,-1.2980963948563211,mp-2340,4,3.0
HfS3,1.54012,-1.373804485859373,mp-9922,4,1.0
I,1.30683,0.0,mp-23153,4,1.0
Zn4P6SN12,4.67699,-0.7335198824068311,mp-15833,4,4.0
KTlCl4,3.01945,-1.544014930097224,mp-27385,4,2.0
Ba(GeAs)2,0.466535,-0.497254499499999,mp-27810,4,0.0
Ba3CrN3,0.187548,-0.908386438571426,mp-12905,4,0.0
K3Nb3(BO6)2,3.1253800000000003,-2.873965536004166,mp-15248,4,2.0
YZnAsO,1.3413,-1.966997731875,mp-546011,4,1.0
MgCO3,6.29783,,mp-5349,4,6.0
SrMgP2O7,6.77523,-3.118421845162336,mp-18469,4,6.0
YAgTe2,1.16135,-1.125885941249998,mp-12903,4,1.0
AsPO4,5.53493,-2.198969101190476,mp-8140,4,5.0
Ag3Ge5P6,0.7329690000000001,-0.041898267346937,mp-17862,4,0.0
NbTeBr3,1.02662,-1.175170097333334,mp-28038,4,0.0
Li2Se,3.54713,-1.451676987465277,mp-2286,4,3.0
KCaCO3F,6.481739999999999,-2.790271634607143,mp-6867,4,6.0
KNO3,4.01889,-1.4221385969499991,mp-5158,4,3.0
Sr2Pb,0.1162229999999999,-0.6891520008333311,mp-30828,4,0.0
InPS4,2.87875,-0.48460511487103,mp-20790,4,2.0
AuSe,0.4509039999999999,-0.140219074531245,mp-2793,4,0.0
Sr5(AuO4)2,1.9178,-2.343511762000006,mp-28796,4,1.0
BaBiIO2,3.59712,-2.184123108,mp-551243,4,3.0
LaTaN2O,1.44615,-2.215536883466666,mp-550514,4,1.0
Sr3(SiAs2)2,1.39088,-0.98703441611111,mp-11677,4,1.0
NbSeI3,0.971418,-0.852683505468748,mp-541817,4,0.0
BiSBr,2.4983299999999997,-0.8865928066666711,mp-23324,4,2.0
SiTePt,0.774841,-0.5956044437500001,mp-29397,4,0.0
BaGeF6,7.30757,-3.401715624375,mp-14006,4,7.0
Li6WN4,3.75709,-0.952176872727273,mp-3503,4,3.0
La2TeO2,2.56714,-3.386965779333334,mp-4547,4,2.0
MgF2,9.07161,,mp-1810,4,7.0
TlTeF5,5.35576,-2.414693193928571,mp-29903,4,5.0
AgCl,1.63934,-0.568439933749999,mp-22922,4,1.0
RbIO3,3.60334,-1.3725295435,mp-27193,4,3.0
HgCl,3.0780100000000004,-0.621251812500002,mp-22897,4,2.0
TlCdCl3,3.76418,-1.434297047166665,mp-28218,4,3.0
Sr2SnS4,3.1261,-1.600842348749998,mp-30294,4,2.0
LaTeAs,0.437768,-1.441733783055556,mp-10383,4,0.0
Ga2PdBr8,2.02584,-1.101282322272727,mp-30945,4,1.0
Rb4In2S5,3.05004,-1.229741488257574,mp-27670,4,2.0
LaAs2,0.779432,,mp-505640,4,0.0
Ba4I6O,4.77529,-2.271982365909091,mp-29909,4,4.0
NaAuF4,2.62172,-1.883067553333333,mp-7388,4,2.0
CsLaCdTe3,1.9479,-1.366133713275861,mp-12491,4,1.0
BaP3,1.05046,-0.66459478973214,mp-7808,4,0.0
K2AgBi,1.30001,-0.414086274374998,mp-27549,4,1.0
RbReO4,4.76094,-2.3544667574999942,mp-4035,4,4.0
CuSe2Cl,1.32513,-0.336460636406249,mp-31038,4,1.0
CsAuI3,0.910917,-0.94590951493103,mp-28453,4,0.0
RbZnPO4,5.07128,-2.513455971734693,mp-18463,4,4.0
CsYHgSe3,1.79583,-1.455908979031071,mp-11123,4,1.0
Zn(GaTe2)2,1.21503,-0.6253114245238071,mp-15777,4,1.0
Li4TeO5,3.77617,-2.104244935500001,mp-4804,4,3.0
K2SeO4,5.02292,-1.8025923552633931,mp-5226,4,4.0
Cs2HfI6,2.72429,-1.508881836590033,mp-29398,4,2.0
GaSe,1.61011,-0.6900082132812491,mp-1943,4,1.0
CuBS2,2.26841,-0.592209918541666,mp-12954,4,2.0
NaInSe2,1.59777,-1.009197114531248,mp-22473,4,1.0
K2LiAlP2,2.6946,-0.633230926186506,mp-6450,4,2.0
Na5InS4,2.96579,,mp-505414,4,2.0
Bi2SO2,1.4558,-1.338651716499998,mp-27891,4,1.0
Sr2ZnN2,1.50295,-0.7217466805,mp-9306,4,1.0
KAuF4,2.9234400000000003,-2.069855809541666,mp-5309,4,2.0
La2SeO2,3.24871,-3.491444638468752,mp-7233,4,3.0
LiCl,7.32759,-2.005343378333332,mp-22905,4,7.0
RbAg3Te2,0.693587,-0.526338080972218,mp-10481,4,0.0
Rb2(NbCl3)3,1.20345,-1.884424737142858,mp-22976,4,1.0
SbPO4,4.75072,-2.355047281607143,mp-3439,4,4.0
Zn(IO3)2,3.89674,-1.057101210555555,mp-23360,4,3.0
CsIn5S8,1.82973,-0.8742669166071401,mp-22007,4,1.0
SrCaGe,0.781042,-0.708072101666665,mp-12418,4,0.0
Sr(InS2)2,2.70976,-1.330079726726185,mp-21781,4,2.0
MgSe,3.2936300000000003,-1.468356818671876,mp-13031,4,3.0
Na2Li3GaO4,4.69171,-2.074097865275861,mp-540945,4,4.0
RhBr3,1.59709,,mp-504719,4,1.0
ZrCl3,1.0789300000000002,-1.949523499375001,mp-22871,4,0.0
Cs2HgF4,3.20674,-2.439617690258624,mp-8963,4,3.0
CsLa2CuSe4,1.68234,-1.819113964253771,mp-505815,4,1.0
Ca3(CoO3)2,0.984137,-2.391797552272727,mp-18792,4,0.0
Tl6SI4,3.10247,-0.76957963977273,mp-27938,4,2.0
Hg2P2S7,2.23174,-0.490929933344155,mp-27171,4,2.0
CaAl4O7,5.429810000000001,-3.463972205833334,mp-4867,4,5.0
KSe,1.52915,-1.167954419796875,mp-9268,4,1.0
FeSi2,1.0976400000000002,-0.395635093333333,mp-1714,4,0.0
Hf(PS3)2,2.83908,-0.800161286980819,mp-14444,4,2.0
BaBiO3,0.390927,-2.233409576999999,mp-22942,4,0.0
BaAs2,0.682868,-0.7792174177777801,mp-31243,4,0.0
RbLiCrO4,3.1709699999999996,-2.090644955833333,mp-18741,4,3.0
LiYF4,9.805040000000002,-4.055315924444444,mp-3700,4,7.0
TlBS2,2.3772800000000003,-0.7129788381249981,mp-8946,4,2.0
AuI,2.46813,-0.265866406249999,mp-27725,4,2.0
Ca(ZnAs)2,0.5178680000000001,-0.6555636290000011,mp-9571,4,0.0
Cd2As3I,0.944385,-0.252506879583335,mp-27577,4,0.0
SrMgSi,0.125268,-0.358533394166666,mp-15642,4,0.0
KYTe2,1.87379,-1.602569402645834,mp-16763,4,1.0
CdWO4,3.4616,-1.985844491666664,mp-19387,4,3.0
Ba2Tl2O5,0.8896069999999999,-1.964748793796296,mp-18327,4,0.0
Rb2As3,0.870263,-0.406971647499999,mp-15556,4,0.0
Li2SnO3,4.27119,-2.224686791527778,mp-3540,4,4.0
Na4FeO4,0.8962859999999999,-1.625666475613027,mp-19022,4,0.0
PPbSe3,2.1023400000000003,-0.411696905532741,mp-20316,4,1.0
BaSiN2,4.08643,-1.306235193125001,mp-3777,4,3.0
KAgSe,1.21601,-0.811976038753471,mp-16236,4,1.0
TaBiO4,4.1711,-2.704939912888891,mp-30900,4,4.0
Nb2Cd2O7,2.8986,-2.454334292272726,mp-5472,4,2.0
BaPS3,3.72981,-1.474063243928571,mp-11006,4,3.0
TlPt2S3,1.29219,-0.691701527638893,mp-9272,4,1.0
KCuTe,1.15054,-0.7233970996388901,mp-7436,4,1.0
MgGeN2,3.1615900000000003,-0.760936786249999,mp-7798,4,3.0
CsGeI3,1.59275,-1.069608593931036,mp-28377,4,1.0
KIO3,3.36143,-1.366622997449999,mp-23487,4,3.0
ICl3,2.37141,-0.66435476,mp-27729,4,2.0
Sr(CdAs)2,0.460741,-0.604969456999997,mp-7771,4,0.0
HfGeO4,5.01297,-3.05788336833334,mp-9755,4,4.0
Ba(CdAs)2,0.442565,-0.614831377000001,mp-8281,4,0.0
ZnPtF6,2.65442,-2.033013432499999,mp-8256,4,2.0
ScOF,6.071359999999999,-4.125764553333335,mp-4661,4,5.0
BaSeO4,4.886939999999999,-2.156183486640623,mp-12010,4,4.0
SrAs,0.787612,-1.268243582083336,mp-1049,4,0.0
Rb2TeBr6,2.3860300000000003,-1.41372741685185,mp-23383,4,2.0
Li2WO4,4.07343,-2.352370269523809,mp-19260,4,3.0
Sb2Ru,0.1849799999999999,-0.288975953333334,mp-20928,4,0.0
NaSrP,1.99046,-0.963640314880952,mp-13275,4,1.0
Rb2Li2GeO4,4.89183,-2.123341942407406,mp-8450,4,4.0
KAuCl4,1.9133,-1.318467975374999,mp-27181,4,1.0
CaBr2,5.54805,-2.402401639999999,mp-22888,4,5.0
Sr2FeWO6,1.5059,-2.663015328,mp-19266,4,1.0
K2Pd3Se4,0.968006,-0.9122132659861112,mp-14339,4,0.0
